,state,date,price
533,Alabama,2022-01-01,1129.4539688200166
534,Arizona,2022-01-01,1448.5280980782052
535,Arkansas,2022-01-01,943.9375314997627
536,California,2022-01-01,2355.973262839333
537,Colorado,2022-01-01,1716.4269366028245
538,Connecticut,2022-01-01,1718.1510581593866
539,District of Columbia,2022-01-01,2044.3702295580879
540,Florida,2022-01-01,1819.6876972995015
541,Georgia,2022-01-01,1414.0237191788617
542,Hawaii,2022-01-01,2098.1789703444133
543,Idaho,2022-01-01,1416.7779359810793
544,Illinois,2022-01-01,1680.168031561541
545,Indiana,2022-01-01,1320.2101821419324
546,Iowa,2022-01-01,1151.6888629924715
547,Kansas,2022-01-01,817.9317547033519
548,Kentucky,2022-01-01,1030.0218157153663
549,Louisiana,2022-01-01,1309.1957590641841
550,Maryland,2022-01-01,1637.4426680067847
551,Massachusetts,2022-01-01,1735.9637412616466
552,Michigan,2022-01-01,1319.3630667336356
553,Minnesota,2022-01-01,1555.9456308650474
554,Mississippi,2022-01-01,1284.5052771028081
555,Missouri,2022-01-01,1214.3680021115185
556,Nebraska,2022-01-01,1286.515630334573
557,Nevada,2022-01-01,1485.282578954164
558,New Mexico,2022-01-01,1258.1065125131463
559,New York,2022-01-01,1520.1107596867407
560,North Carolina,2022-01-01,1395.6420469812683
561,Ohio,2022-01-01,1079.750653801351
562,Oklahoma,2022-01-01,1163.8067726725267
563,Oregon,2022-01-01,1681.1989929433175
564,Pennsylvania,2022-01-01,1259.70203887776
565,Rhode Island,2022-01-01,1634.5089573198175
566,South Carolina,2022-01-01,1364.946991283588
567,Tennessee,2022-01-01,1438.2546362408737
568,Texas,2022-01-01,1457.7561121084188
569,United States,2022-01-01,1760.7791365675564
570,Utah,2022-01-01,1398.472411688153
571,Virginia,2022-01-01,1382.4635097529554
572,Washington,2022-01-01,1689.1554197546527
573,Wisconsin,2022-01-01,1306.3608372381989
574,Alabama,2022-02-01,1133.57343460105
575,Arizona,2022-02-01,1451.1408159273515
576,Arkansas,2022-02-01,953.3986998161926
577,California,2022-02-01,2341.193823036411
578,Colorado,2022-02-01,1724.0689725206034
579,Connecticut,2022-02-01,1730.0237499356754
580,District of Columbia,2022-02-01,2012.975659405679
581,Florida,2022-02-01,1819.82191404113
582,Georgia,2022-02-01,1443.869495428477
583,Hawaii,2022-02-01,2095.4024937309077
584,Idaho,2022-02-01,1423.0502699823942
585,Illinois,2022-02-01,1647.9045013897112
586,Indiana,2022-02-01,1332.7683200365605
587,Iowa,2022-02-01,1156.4258793480951
588,Kansas,2022-02-01,980.5821762734829
589,Kentucky,2022-02-01,1025.0311606598239
590,Louisiana,2022-02-01,1306.7631079991522
591,Maryland,2022-02-01,1633.2754334904303
592,Massachusetts,2022-02-01,1710.8963569643545
593,Michigan,2022-02-01,1320.7036890162806
594,Minnesota,2022-02-01,1556.277882047628
595,Mississippi,2022-02-01,1270.1609779683063
596,Missouri,2022-02-01,1216.1322685493956
597,Nebraska,2022-02-01,1307.1289111723293
598,Nevada,2022-02-01,1488.8289935031792
599,New Mexico,2022-02-01,1268.9083529818713
600,New York,2022-02-01,1494.6719846428186
601,North Carolina,2022-02-01,1386.8737551471963
602,Ohio,2022-02-01,1112.7409287269209
603,Oklahoma,2022-02-01,1166.9157457618273
604,Oregon,2022-02-01,1673.7159073766
605,Pennsylvania,2022-02-01,1285.5268804473405
606,Rhode Island,2022-02-01,1623.347960976489
607,South Carolina,2022-02-01,1381.6030387121202
608,Tennessee,2022-02-01,1444.6797353911772
609,Texas,2022-02-01,1446.502927177539
610,United States,2022-02-01,1747.2767865292894
611,Utah,2022-02-01,1402.8304871625824
612,Virginia,2022-02-01,1389.6955008221396
613,Washington,2022-02-01,1681.7550161512752
614,Wisconsin,2022-02-01,1311.996636223537
615,Alabama,2022-03-01,1139.1780358824012
616,Arizona,2022-03-01,1485.7972706203288
617,Arkansas,2022-03-01,964.0952947370395
