,city,date,price,state
488,Daytona Beach,2021-04-01,1479.849466,Florida
489,Denver,2021-04-01,1756.516103,Colorado
490,Des Moines,2021-04-01,1161.238111,Iowa
491,Detroit,2021-04-01,1320.750312,Michigan
492,Durham,2021-04-01,1426.902232,North Carolina
493,El Paso,2021-04-01,1198.975012,Texas
494,Fort Collins,2021-04-01,1587.4603,Colorado
495,Fort Lauderdale,2021-04-01,1934.914487,Florida
496,Fort Myers,2021-04-01,1916.89662,Florida
497,Fort Worth,2021-04-01,1571.400926,Texas
498,Fresno,2021-04-01,1589.969888,California
499,Gainesville,2021-04-01,1403.161079,Georgia
500,Grand Rapids,2021-04-01,1288.91193,Michigan
501,Greeley,2021-04-01,1604.076475,Colorado
502,Greensboro,2021-04-01,1256.21907,North Carolina
503,Greenville,2021-04-01,1324.852937,South Carolina
504,Harrisburg,2021-04-01,1161.262239,Pennsylvania
505,Hartford,2021-04-01,1407.198985,Connecticut
506,Honolulu,2021-04-01,2109.683136,Hawaii
507,Houston,2021-04-01,1491.807757,Texas
508,Indianapolis,2021-04-01,1288.486877,Indiana
509,Jackson,2021-04-01,1276.613823,Mississippi
510,Jacksonville,2021-04-01,1400.589705,Florida
511,Jefferson County,2021-04-01,1009.992207,Kentucky
512,Kansas City,2021-04-01,1223.481695,Missouri
513,Knoxville,2021-04-01,1373.931235,Tennessee
514,Lakeland,2021-04-01,1475.90737,Florida
515,Las Vegas,2021-04-01,1471.664638,Nevada
516,Little Rock,2021-04-01,937.8133733,Arkansas
517,Long Beach,2021-04-01,2587.47926,California
518,Los Angeles,2021-04-01,2587.47926,California
519,Louisville,2021-04-01,1009.992207,Kentucky
520,Madison,2021-04-01,1360.807328,Wisconsin
521,Melbourne,2021-04-01,1569.126813,Florida
522,Memphis,2021-04-01,1341.291765,Tennessee
523,Miami,2021-04-01,1934.914487,Florida
524,Milwaukee,2021-04-01,1236.782501,Wisconsin
525,Minneapolis,2021-04-01,1569.223615,Minnesota
526,Nashville,2021-04-01,1633.188878,Tennessee
527,New Haven,2021-04-01,1490.647701,Connecticut
528,New Orleans,2021-04-01,1425.351347,Louisiana
529,New York,2021-04-01,2630.23021,New York
530,North Port,2021-04-01,2156.099821,Florida
531,Ogden,2021-04-01,1354.342628,Utah
532,Oklahoma City,2021-04-01,1107.986014,Oklahoma
533,Omaha,2021-04-01,1264.937002,Nebraska
534,Orlando,2021-04-01,1604.043034,Florida
535,Philadelphia,2021-04-01,1630.015941,Pennsylvania
536,Phoenix,2021-04-01,1568.580047,Arizona
537,Pittsburgh,2021-04-01,1211.514797,Pennsylvania
538,Port St. Lucie,2021-04-01,1774.606195,Florida
539,Portland,2021-04-01,1676.889089,Oregon
540,Providence,2021-04-01,1620.756629,Rhode Island
541,Provo,2021-04-01,1377.832962,Utah
542,Raleigh,2021-04-01,1524.030758,North Carolina
543,Richmond,2021-04-01,1343.44272,Virginia
544,Riverside,2021-04-01,2199.685671,California
