,city,date,price,state
348,Allentown,2014-04-01,1100.349242,Pennsylvania
349,Anaheim,2014-04-01,1921.030914,California
350,Atlanta,2014-04-01,1139.532717,Georgia
351,Augusta,2014-04-01,960.5116643,Georgia
352,Austin,2014-04-01,1270.295603,Texas
353,Bakersfield,2014-04-01,1059.023454,California
354,Baltimore,2014-04-01,1505.121558,Maryland
355,Baton Rouge,2014-04-01,1063.443897,Louisiana
356,Birmingham,2014-04-01,920.2827293,Alabama
357,Boise City,2014-04-01,891.8369847,Idaho
358,Boston,2014-04-01,2029.896276,Massachusetts
359,Boulder,2014-04-01,1597.048122,Colorado
360,Bradenton,2014-04-01,1648.541847,Florida
361,Buffalo,2014-04-01,893.1197581,New York
362,Charleston,2014-04-01,1208.311386,South Carolina
363,Charlotte,2014-04-01,1142.376628,North Carolina
364,Chattanooga,2014-04-01,947.6298289,Tennessee
365,Chicago,2014-04-01,1483.900706,Illinois
366,Cincinnati,2014-04-01,1006.168391,Ohio
367,Cleveland,2014-04-01,977.2264849,Ohio
368,Colorado Springs,2014-04-01,1069.746276,Colorado
369,Columbia,2014-04-01,977.585522,South Carolina
370,Columbus,2014-04-01,1027.304584,Ohio
371,Dallas,2014-04-01,1222.07772,Texas
372,Dayton,2014-04-01,845.8788974,Ohio
373,Daytona Beach,2014-04-01,1029.162863,Florida
374,Denver,2014-04-01,1278.933704,Colorado
375,Des Moines,2014-04-01,1008.668356,Iowa
376,Detroit,2014-04-01,1054.990927,Michigan
377,Durham,2014-04-01,1152.334597,North Carolina
378,El Paso,2014-04-01,1044.651204,Texas
379,Fort Collins,2014-04-01,1220.619081,Colorado
380,Fort Lauderdale,2014-04-01,1571.131603,Florida
381,Fort Myers,2014-04-01,1331.203639,Florida
382,Fort Worth,2014-04-01,1222.07772,Texas
383,Fresno,2014-04-01,1133.37125,California
384,Gainesville,2014-04-01,968.8305246,Georgia
385,Grand Rapids,2014-04-01,867.1669657,Michigan
386,Greeley,2014-04-01,1180.524775,Colorado
387,Greensboro,2014-04-01,984.3316934,North Carolina
388,Greenville,2014-04-01,1042.967646,South Carolina
389,Harrisburg,2014-04-01,981.156583,Pennsylvania
390,Hartford,2014-04-01,1161.446836,Connecticut
391,Honolulu,2014-04-01,1754.365335,Hawaii
392,Houston,2014-04-01,1299.873281,Texas
393,Indianapolis,2014-04-01,1000.135142,Indiana
394,Jackson,2014-04-01,1123.422249,Mississippi
395,Jacksonville,2014-04-01,1093.848639,Florida
396,Jefferson County,2014-04-01,793.3907195,Kentucky
397,Kansas City,2014-04-01,955.4312172,Missouri
398,Knoxville,2014-04-01,1045.76258,Tennessee
399,Lakeland,2014-04-01,1050.362633,Florida
400,Las Vegas,2014-04-01,1046.583403,Nevada
401,Little Rock,2014-04-01,816.6195312,Arkansas
402,Long Beach,2014-04-01,1921.030914,California
403,Los Angeles,2014-04-01,1921.030914,California
404,Louisville,2014-04-01,793.3907195,Kentucky
405,Madison,2014-04-01,1141.205025,Wisconsin
406,Melbourne,2014-04-01,1011.416159,Florida
407,Memphis,2014-04-01,1052.175991,Tennessee
408,Miami,2014-04-01,1571.131603,Florida
409,Milwaukee,2014-04-01,1046.88259,Wisconsin
410,Minneapolis,2014-04-01,1235.371699,Minnesota
411,Nashville,2014-04-01,1206.026918,Tennessee
412,New Haven,2014-04-01,1214.872087,Connecticut
413,New Orleans,2014-04-01,1218.896629,Louisiana
414,New York,2014-04-01,2402.705534,New York
415,North Port,2014-04-01,1648.541847,Florida
416,Ogden,2014-04-01,907.0776285,Utah
417,Oklahoma City,2014-04-01,978.0662831,Oklahoma
418,Omaha,2014-04-01,980.6040294,Nebraska
419,Orlando,2014-04-01,1208.790271,Florida
420,Philadelphia,2014-04-01,1368.392077,Pennsylvania
421,Phoenix,2014-04-01,1019.772099,Arizona
422,Pittsburgh,2014-04-01,1037.194441,Pennsylvania
423,Port St. Lucie,2014-04-01,1178.754378,Florida
424,Portland,2014-04-01,1199.18282,Oregon
425,Providence,2014-04-01,1190.741787,Rhode Island
426,Provo,2014-04-01,1016.523847,Utah
427,Raleigh,2014-04-01,1233.195669,North Carolina
428,Richmond,2014-04-01,1078.484143,Virginia
429,Riverside,2014-04-01,1522.769537,California
430,Rochester,2014-04-01,943.7737273,New York
431,Sacramento,2014-04-01,1268.576511,California
432,Salem,2014-04-01,994.3071978,North Carolina
433,Salt Lake City,2014-04-01,1071.554843,Utah
434,San Antonio,2014-04-01,1081.747742,Texas
435,San Diego,2014-04-01,1713.893449,California
436,San Francisco,2014-04-01,2321.337469,California
437,San Jose,2014-04-01,2254.406628,California
438,Sarasota,2014-04-01,1648.541847,Florida
439,Scranton,2014-04-01,741.4288295,Pennsylvania
440,Seattle,2014-04-01,1412.322502,Washington
441,Spokane,2014-04-01,922.5787385,Washington
442,Springfield,2014-04-01,1114.706941,Massachusetts
443,St. Louis,2014-04-01,967.3906877,Missouri
444,St. Paul,2014-04-01,1235.371699,Minnesota
445,Stamford,2014-04-01,1823.226728,Connecticut
446,Stockton,2014-04-01,1361.578861,California
447,Syracuse,2014-04-01,929.6961506,New York
448,Tampa,2014-04-01,1148.086359,Florida
449,Toledo,2014-04-01,761.0773181,Ohio
450,Tucson,2014-04-01,924.1846952,Arizona
451,Tulsa,2014-04-01,1012.587765,Oklahoma
452,United States,2014-04-01,1397.768521,United States
453,Ventura,2014-04-01,2088.787763,California
454,Virginia Beach,2014-04-01,1199.696804,Virginia
455,Washington,2014-04-01,1880.318662,District of Columbia
456,Wichita,2014-04-01,783.7383235,Kansas
457,Winston,2014-04-01,994.3071978,North Carolina
458,Worcester,2014-04-01,1049.618627,Massachusetts
459,Youngstown,2014-04-01,650.0223936,Ohio
460,Akron,2014-05-01,762.6667267,Ohio
461,Albany,2014-05-01,1144.38946,New York
462,Albuquerque,2014-05-01,987.4688697,New Mexico
463,Allentown,2014-05-01,1111.450144,Pennsylvania
464,Anaheim,2014-05-01,1937.337483,California
465,Atlanta,2014-05-01,1147.019846,Georgia
466,Augusta,2014-05-01,962.0246851,Georgia
467,Austin,2014-05-01,1281.837644,Texas
468,Bakersfield,2014-05-01,1062.837705,California
469,Baltimore,2014-05-01,1517.708722,Maryland
470,Baton Rouge,2014-05-01,1068.602876,Louisiana
