,date,price,city,state
555,2014-05-01,1430.0,Seattle,Washington
556,2014-05-01,928.0,Spokane,Washington
557,2014-05-01,1132.0,Springfield,Massachusetts
558,2014-05-01,971.0,St. Louis,Missouri
559,2014-05-01,1239.0,St. Paul,Minnesota
560,2014-05-01,1868.0,Stamford,Connecticut
561,2014-05-01,1385.0,Stockton,California
562,2014-05-01,919.0,Syracuse,New York
563,2014-05-01,1155.0,Tampa,Florida
564,2014-05-01,750.0,Toledo,Ohio
565,2014-05-01,927.0,Tucson,Arizona
566,2014-05-01,1014.0,Tulsa,Oklahoma
567,2014-05-01,1408.0,United States,United States
568,2014-05-01,2097.0,Ventura,California
569,2014-05-01,1204.0,Virginia Beach,Virginia
570,2014-05-01,1888.0,Washington,District of Columbia
571,2014-05-01,760.0,Wichita,Kansas
572,2014-05-01,1002.0,Winston,North Carolina
573,2014-05-01,1055.0,Worcester,Massachusetts
574,2014-05-01,628.0,Youngstown,Ohio
